BE_07_19_15_00	Kompozīta pārsegumi
BE_07_19_17_00	Stikla pārsegumi
BE_07_19_19_00	Citi pārsegumi
BE_07_21_00_00	Sijas
BE_07_21_01_00	Monolītā dzelzsbetona (MDZB) sijas
BE_07_21_03_00	Saliekamā dzelzsbetona (SDZB) sijas
BE_07_21_05_00	Tērauda sijas
BE_07_21_07_00	Tēraudbetona sijas
BE_07_21_09_00	Koka sijas
BE_07_21_11_00	Alumīnija sijas
BE_07_21_13_00	Kompozīta sijas
BE_07_21_15_00	Stikla sijas
BE_07_21_17_00	Citas sijas
BE_07_23_00_00	Kopnes, režģotas konstrukcijas
BE_07_23_01_00	Monolītā dzelzsbetona (MDZB) kopnes, režģotas konstrukcijas
BE_07_23_03_00	Saliekamā dzelzsbetona (SDZB) kopnes, režģotas konstrukcijas
BE_07_23_05_00	Tērauda kopnes, režģotas konstrukcijas
BE_07_23_07_00	Tēraudbetona kopnes, režģotas konstrukcijas
BE_07_23_09_00	Koka kopnes, režģotas konstrukcijas
BE_07_23_11_00	Alumīnija kopnes, režģotas konstrukcijas
BE_07_23_13_00	Kompozīta kopnes, režģotas konstrukcijas
BE_07_23_15_00	Citas kopnes, režģotas konstrukcijas
BE_07_25_00_00	Čaulas un membrānas
BE_07_25_01_00	Monolītā dzelzsbetona (MDZB) čaulas
BE_07_25_03_00	Saliekamā dzelzsbetona (SDZB) čaulas
BE_07_25_05_00	Tērauda čaulas
BE_07_25_07_00	Tēraudbetona čaulas
BE_07_25_09_00	Koka čaulas
BE_07_25_11_00	Krusteniski līmēta koka (CLT) čaulas
BE_07_25_13_00	Alumīnija čaulas
BE_07_25_15_00	Kompozīta čaulas
BE_07_25_17_00	Stikla čaulas
BE_07_25_19_00	Citas čaulas
BE_07_27_00_00	Saites un troses
BE_07_27_01_00	Monolītā dzelzsbetona (MDZB) saites
BE_07_27_03_00	Saliekamā dzelzsbetona (SDZB) saites
BE_07_27_05_00	Tērauda saites
BE_07_27_07_00	Koka saites
BE_07_27_09_00	Kompozīta saites
BE_07_27_11_00	Citas saites
BE_07_29_00_00	Kāpnes un pandusi
BE_07_29_01_00	Monolītā dzelzsbetona (MDZB) kāpnes un pandusi
BE_07_29_03_00	Saliekamā dzelzsbetona (SDZB) kāpnes un pandusi
BE_07_29_05_00	Tērauda kāpnes un pandusi
BE_07_29_07_00	Tēraudbetona kāpnes un pandusi
BE_07_29_09_00	Koka kāpnes un pandusi
BE_07_29_11_00	Alumīnija kāpnes un pandusi
BE_07_29_13_00	Kompozīta kāpnes un pandusi
BE_07_29_15_00	Stikla kāpnes un pandusi
BE_07_29_17_00	Citas kāpnes un pandusi
